first_month,1,2,3,4,5,6,7,8,9,10,total_users
2024-04-01,25690,22654,19927,22136,24489,24261,24399,24587,23712,23732,31461
2024-05-01,12231,10406,11549,12804,12861,14272,14731,13995,13906,0,18565
2024-06-01,5859,6286,6759,6818,8189,8708,8158,8088,0,0,11021
2024-07-01,4137,4189,4145,4757,4985,4712,4668,0,0,0,6608
2024-08-01,22819,22160,24926,26003,24590,24379,0,0,0,0,31242
2024-09-01,55738,57689,58499,55355,54891,0,0,0,0,0,71446
2024-10-01,52273,51148,47640,46961,0,0,0,0,0,0,61460
2024-11-01,50199,46456,46253,0,0,0,0,0,0,0,57978
2024-12-01,36537,37373,0,0,0,0,0,0,0,0,44476
2025-01-01,19189,0,0,0,0,0,0,0,0,0,21984
